text,key,en_a1,en_a2,en_a3,en_a4,en_a5,en_a6
<handle replaced><handle replaced>Pretty Woman..,question_2,,0.0,,,,
"<handle replaced><handle replaced>Pretty disgusting that you’re supporting a war criminal that destroyed countries &amp; killed scores of Muslims &amp; Christians in pursuit of profit, as if gender excuses it.",question_2,,0.0,,,,
<handle replaced><handle replaced>Priyanka ilove you ass,question_2,,,,,1.0,
<handle replaced><handle replaced>R u seriously heard??,question_2,,,,0.0,,
<handle replaced><handle replaced>RG made a mistake of invoking Savarkar By doing this he made everyone aware of Savarkar sidelined key issues of CAB Economy Jobs where Opposition cud hv rallied around him with support,question_2,,,0.0,,0.0,
<handle replaced><handle replaced>Racist ass bitch,question_2,,,,,1.0,
"<handle replaced><handle replaced>Rajesh Khanna, what a Super Star......someday, may be someday....I will sing this song like him in a film.....",question_2,,,,0.0,,
"<handle replaced><handle replaced>Rajnath is the man responsible for the mess country is facing today. It is he who, as BJP President, nominated Modi for PM.",question_2,,,,,,0.0
<handle replaced><handle replaced>Rashmi Desai u deserve only one words aaak thoooooo,question_2,,,,,1.0,
"<handle replaced><handle replaced>Ravi Shankar Ji is ministerial  version of Sambit Patra, another sanghi gem of BJP.",question_2,,,,,0.0,
"<handle replaced><handle replaced>Read my thread on this sexist phrase.⬇️  ▪️Feminists hate women who refuse to be a slave of their ideology.  ▪️Feminists Calling you ""pick me"" bcoz u stood Against sexist Generalization is a logical fallacy called Ad hominem. #Feministsaretrash  ",question_2,,,,,,1.0
<handle replaced><handle replaced>Really ? Live a life of average man,question_2,,,0.0,,,
<handle replaced><handle replaced>Really you never stop trying to defame India People know you so keep trying We a have heard the Nera Radia tapes Modi will never throw crumps for you,question_2,,,,,1.0,
<handle replaced><handle replaced>Reform education !! !?Thats a laugh with this lot in power !! First they should acknowledge  the value and the power of education ! Then they should  develope primary education !,question_2,,0.0,,,0.0,
<handle replaced><handle replaced>Rehne do ab dedication.. more like selective manipulation of the masses. Moreover this is a legit two year old case.. it’s not something created in a Media room.   Let’s not forget #RheaChakraborty.,question_2,,1.0,,,,
<handle replaced><handle replaced>Requesting <handle replaced>to please take an action. Such hooligans cannnot be allowed to harass people especially when they are distressed and seeking help. <handle replaced>,question_2,,,,,,0.0
"<handle replaced><handle replaced>Rhea, Bible verses that God will apply to you for your deeds Isaiah 3:11 Woe to the wicked! Disaster is upon them! They will be paid back for what their hands have done.  Psalms 91:8 You will only observe with your eyes and see the punishment of the wicked. In Jesus name. Amen",question_2,,0.0,,,,
<handle replaced><handle replaced>Rice bags will always support him... !!   Why is your name Sanvi ??? change it and make it Suise or Samantha ... or Sharon ...   why have a Hindu name coward !!!,question_2,,,,,,1.0
<handle replaced><handle replaced>Richa I love you're singing you're voice and you 💞,question_2,,0.0,,,,
<handle replaced><handle replaced>Right wishes .... Wrong Person,question_2,,,,0.0,,
<handle replaced><handle replaced>Rose must be doing something wrong somewhere that is why he prefers the friend... Be queen outside but a whore in bed...,question_2,,,,,1.0,1.0
<handle replaced><handle replaced>Rubina is bast,question_2,,0.0,,,,
<handle replaced><handle replaced>Run Run Run for your health <handle replaced> Author Venkat 😎,question_2,,,0.0,,0.0,
<handle replaced><handle replaced>SC will take suo moto cognizance only for secular causes,question_2,,,,,,0.0
"<handle replaced><handle replaced>SHAME ON YOU, they are beating policemen and burning public property, they are carrying guns and making aazadi slogans. You crap in the same plate you eat in, anti national and ungrateful Konkani. Shame on Congress and left for causing deaths of poor Muslims while they mint money",question_2,,,,,1.0,
<handle replaced><handle replaced>Saina ..please stand up against this fascist government!! Don’t be afraid,question_2,,,0.0,,,
<handle replaced><handle replaced>Saina ji sach me ?,question_2,,,,,0.0,
<handle replaced><handle replaced>Sam Ma'am please report to RBI. This is robbery.. Very sad thinking how banks loot us!!  We Love you and our Prayers are with you,question_2,,,,0.0,,
<handle replaced><handle replaced>Same for women also if men have that power,question_2,,,,0.0,,
<handle replaced><handle replaced>Same in India isn't it? Upper class privileged on every post of political architecture over the blood of minorities and Dalits.,question_2,,,,,,0.0
<handle replaced><handle replaced>Sandhya jii.. take no shit - agreed but plz give no shit.. 😄,question_2,,0.0,,,,
"<handle replaced><handle replaced>Sanghis dont read. So as far fetched as it sounds, it wont take hell to freeze over to see these things happen in India.",question_2,,,,,0.0,
"<handle replaced><handle replaced>Sarkar giving reservation in promotion based on caste, sidelining performance of bureacrats way to go forward . With amendment in #SCSTAct by <handle replaced> few bureacrats will feel  &amp; act invincible",question_2,,,,1.0,,0.0
<handle replaced><handle replaced>Savage bro Ben we have come across many of such fools when we were tweeting for Asim #PublicKaWinnerAsim  #FixedWinnerSid,question_2,,,,,0.0,
"<handle replaced><handle replaced>Savage girl! Shoot them with your words! Bloody immature psycho fans of chukla! Same as their idol abusive and violent ! People turned abusive only coz of <handle replaced>nd <handle replaced>they made a abusive violent fool like shukla a winner! Totally undeserving,shame!  #PublicKaWinnerAsim",question_2,,,0.0,,,
"<handle replaced><handle replaced>Says other people are wrong, not him and believes YouTube over trained professionals in their field. Dave is playing the tin foil hat victim card real hard here",question_2,,,,0.0,,
<handle replaced><handle replaced>Secularism and Islam are antithetical so the real issue is being a Muslim and secular! This is why secularism in India as preached by his like has lost support among Hindus! If Muslims could be secular they could marry non Muslim and not force their conversion! Acid test!,question_2,,0.0,,,,
"<handle replaced><handle replaced>Seems like something very bad has happened to you. You have lost the sense of how logic works. How you felt ""Aunty"" is casual sexism, sounds like you are deeply hurt inside. Get well soon. And please stop calling yourself a feminist.",question_2,,1.0,,,,
<handle replaced><handle replaced>Seems like they burnt all treatise and convention,question_2,,,,,0.0,
<handle replaced><handle replaced>Seems summer hot started,question_2,,,,,0.0,
<handle replaced><handle replaced>Seems you are having so many bad dreams these days...,question_2,,,,,0.0,
<handle replaced><handle replaced>Seems your 2021 too is going to suck ☹️,question_2,,,,,1.0,
<handle replaced><handle replaced>Sex is boring with same person,question_2,,,,,0.0,
<handle replaced><handle replaced>Shame on u hypocrite woman. Proud on you <handle replaced>,question_2,,,,,1.0,
<handle replaced><handle replaced>Shame on you biased hater,question_2,,,,,0.0,
<handle replaced><handle replaced>Shame on you ugly lady with affected by leftist,question_2,,,,,1.0,
<handle replaced><handle replaced>Shame on you...you can't blame India for this...blame the people who have such thoughts. Don't forget where you stand today its because of India. <handle replaced>,question_2,,,,,1.0,
<handle replaced><handle replaced>Shameless lady doesn't have spine to question the PM .,question_2,,,,,1.0,
<handle replaced><handle replaced>Shameless women..  #WeStandByAsim,question_2,,,1.0,,,
<handle replaced><handle replaced>Shamita never pressurized Pratik. Please go watch the episode first. Pratik is not so close to Simba as Nishant is close to Simba. Pratik would always choose Neha #BiggBoss15  #ShamitaShetty,question_2,,,0.0,,,
<handle replaced><handle replaced>Shazia the Hindusthan after 1947 partition on Communal basis this is Hindusthan. No anti-Hindu voice need to be spared here.Left is no where in the World(except Cuba). Kick these badmash out of India.,question_2,,,,,,1.0
<handle replaced><handle replaced>She Does Everything defaming in the name Of Nationalism. From when does Nationalism means bantering our elders? Be A Patriot love every segment of your country. It is not bad to point out mistakes but being out of your bounds is a mistake!!,question_2,,,,,,1.0
"<handle replaced><handle replaced>She blocked me for calling one of her tweet 'idiotic'  But just read her 'manual for allies' on a browser.  Well, Shehla Ji, The Constitution of India is for every citizen. Nobody is protesting for Islamic religious rights. Ok So if you want to support the constitution, Welcome",question_2,,,,0.0,,
<handle replaced><handle replaced>She can digest everything that is free.,question_2,,,1.0,,,
<handle replaced><handle replaced>She deserved it for all her arrogance and stupidity,question_2,,,,,,1.0
<handle replaced><handle replaced>She has become a national joke ..... aur Kapil sharma will soon become international joke .... shame on them,question_2,,,,0.0,,
<handle replaced><handle replaced>She has the ugly heart but act like innocent! We see how much she hates Vikas n this tell the person she is! Done with her fake innocent,question_2,,0.0,,,,
<handle replaced><handle replaced>She is Pissfull,question_2,,,,0.0,,
<handle replaced><handle replaced>She is a gem..,question_2,,,0.0,,,
<handle replaced><handle replaced>She is fake this goes on nerves now,question_2,,,,0.0,,
<handle replaced><handle replaced>She is from sickular brigade!  Simple.,question_2,,,1.0,,,
<handle replaced><handle replaced>She is really beauty Queen😍💝,question_2,,,,,0.0,
<handle replaced><handle replaced>She is so irritating  Unnecessary always targeting Umar Mannerless rude arrogant. She is favoured so much by makers yet she is unable to win the audiences,question_2,,0.0,,,,
<handle replaced><handle replaced>She need her days back.. Please give her azaadi,question_2,,,,,1.0,
<handle replaced><handle replaced>She stays in US and enjoys her life and meanwhile spreads hate for indians. 😁,question_2,,,,,0.0,
<handle replaced><handle replaced>She was like fire in today's episode!!! #BBTrendMasterJasminBhasin #JasminBhasin #JasmineBhasin,question_2,,,,,,1.0
<handle replaced><handle replaced>She will not win.... i can guarantee.  RAHUL VAIDYA FOR THE WIN,question_2,,,,0.0,,
<handle replaced><handle replaced>She's a serial abuser,question_2,,,,,1.0,
<handle replaced><handle replaced>She's just making an issue out of it.,question_2,,0.0,,,,1.0
<handle replaced><handle replaced>Shit happened everywhere that's why everyone follow there own way,question_2,,,,0.0,,0.0
<handle replaced><handle replaced>Shortcut noooo,question_2,,,0.0,,,
<handle replaced><handle replaced>Shut up with your propaganda.... these hooligans deserve the treatment,question_2,,0.0,,,,
<handle replaced><handle replaced>Sick,question_2,,0.0,,,,
<handle replaced><handle replaced>Sickular,question_2,,0.0,,,,
"<handle replaced><handle replaced>Since 🆎 isn't well. We, his fans, will answer your question. Yes ma'am. #BreatheIntoTheShadows is a must watch series with phenomenally brilliant performances by 🆎 and the cast 🔥 Well-executed script and direction. It's an edge-of-the-seat thriller 😍",question_2,,,,0.0,,
<handle replaced><handle replaced>Sir we are sickular nation - appeasement of Islamists &amp; Christians can only prove we are sickular to the World. We care about the opinions of World - we care a heck for the majority population. 🤣,question_2,,0.0,,,,
<handle replaced><handle replaced>Sis wtf? Did you even read what we are discussing? Who said Tamils hate Telugus! We are legit talking about Telugu people disliking Telugu language. Man!,question_2,,0.0,,,,
<handle replaced><handle replaced>So Beautiful Akshara ❤👀👼😍😘,question_2,,,,0.0,,
"<handle replaced><handle replaced>So Sutali bomb&amp;tamacha , should be rewarded.<handle replaced>in pursuit of visceral hate against <handle replaced>, u r justifying all anti national activities. best luck to you. Off late,biggest disappointment <handle replaced>who has started endorsing all crap against Hindus and nation.",question_2,,,,,,1.0
<handle replaced><handle replaced>So annoying!,question_2,,,,,0.0,
<handle replaced><handle replaced>So cute,question_2,,,,0.0,,
<handle replaced><handle replaced>So excited 🤗,question_2,,,,,0.0,
<handle replaced><handle replaced>So for u this muslim bigot is above the #indianarmy great job kaneez,question_2,,,,,1.0,
<handle replaced><handle replaced>So happy congratulations ani di❤,question_2,,0.0,,,,
<handle replaced><handle replaced>So much  of packaged junk and you call it good food ?,question_2,,,,0.0,,
<handle replaced><handle replaced>So nice to see you.. Hear from you after a long time! Wish you many more smiles..,question_2,,,,0.0,,
<handle replaced><handle replaced>So sad 😭😭 why govt made a strict punishment?,question_2,,,,0.0,,
<handle replaced><handle replaced>So shameful all this 😐😐😐,question_2,,,,,,0.0
<handle replaced><handle replaced>So u r in sun TV nw?,question_2,,,,0.0,,
<handle replaced><handle replaced>So uncouth and uncivilized. Shame on these people,question_2,,,,,1.0,
<handle replaced><handle replaced>So what for you ? It's their privacy and Life. Let them reveal. Don't tweeting these shts,question_2,,0.0,,,,
<handle replaced><handle replaced>So who did you rape?,question_2,,,,0.0,,
<handle replaced><handle replaced>So you are saying hindus will eat beef and still call them hindus,question_2,,,,0.0,,
"<handle replaced><handle replaced>So, who asked your religion now🤔",question_2,,0.0,,,,
"<handle replaced><handle replaced>Social justice from mouths of the children of our corrupt oppressors? Man can the whores of the GOP whine for the rights of our overloads. Fuck you Kevin, there is a special place in hell for Mother Fuckers like you.",question_2,,,1.0,,,
<handle replaced><handle replaced>Some one need to fuck me just like this and put me in my place as a fagot,question_2,,,,,0.0,
"<handle replaced><handle replaced>Some people understand HATE so clearly, it is surprising how they do it without having it. May be hate in itself is not bad. It is bad that should be hated. Bad is relative word.",question_2,,,0.0,,,
<handle replaced><handle replaced>Soo hot lips,question_2,,,,,,1.0
<handle replaced><handle replaced>Sooo sexxxxyy,question_2,,0.0,,,,
<handle replaced><handle replaced>Sorry. Nope Pia! You don’t know the US politics. If you just want to blindly follow the left wing liberal news media that’s up to you. She is just a stupid activist - period!,question_2,,,,,,1.0
<handle replaced><handle replaced>Sounds like a manufactured controversy.,question_2,,,0.0,,1.0,
<handle replaced><handle replaced>Stage 2 shut up and get some bitches,question_2,,,,,1.0,
"<handle replaced><handle replaced>Staring at the poor and the farmers but embracing Ambanis and Adanis. Had Sardar Patel lived longer, he would have extinguished RSS and we will not under the worst rule of BJP.",question_2,,0.0,,,,
<handle replaced><handle replaced>Stick together scumbags you'll need to,question_2,,,,,1.0,
<handle replaced><handle replaced>Still dealing with diet,question_2,,,0.0,,,
<handle replaced><handle replaced>Stop associating yourself with this crap. Worst movie eligible for creating a category on its own..special category!! Bring shame to father,question_2,,1.0,,0.0,,
"<handle replaced><handle replaced>Strongly disagree with your reporters views,either she has not watched the show completely or she is now trying to play victim card.Bigg boss ke show mein yeh aurat aur mard ka mudda hi nahi hai, all r equal here.Yeh sawaal aur mudda hi galat tha,attempt to target #RahulVaidya",question_2,,,1.0,,,
<handle replaced><handle replaced>Students should learn in colleges and not to intervene in politics. If they come in politics then lathis is only solutions.,question_2,,,,,0.0,
"<handle replaced><handle replaced>Such a useless lady, I see!!!",question_2,,,,,,1.0
<handle replaced><handle replaced>Such ignorant idiots... who make a mockery of their own beliefs or lack of it!,question_2,,,0.0,,,
<handle replaced><handle replaced>Suddenly saw a lot of  VEDANTU SCORER locations around me. Dived deep to find they’re actually results of students! This is toooo cool.,question_2,,0.0,,,,
<handle replaced><handle replaced>Supper,question_2,,,,,,0.0
"<handle replaced><handle replaced>Supposedly Gandhi said hey Ram as his last words.. communal saala.. he must rot in hell, how can he be so insensitive to minorities, while dying he is uttering Ram.. such a RSS mentality",question_2,,,,,1.0,
<handle replaced><handle replaced>Sure i will watch this film now,question_2,,,,0.0,0.0,
<handle replaced><handle replaced>Surprising that Mylapore wasn't allotted to Congress.,question_2,,0.0,,,,
<handle replaced><handle replaced>Susan Fowler all over again,question_2,,0.0,,,,
<handle replaced><handle replaced>Sweet sixteen baby doll,question_2,,0.0,,,,
<handle replaced><handle replaced>Take your 1 follower and beat it you inbred bitch.,question_2,,,,,1.0,
"<handle replaced><handle replaced>Talks a lot about your faith and it's faith in Indian courts. The more you speak, the dumber you sound!",question_2,,0.0,,,,
<handle replaced><handle replaced>Tell me that to my face fat face bitch,question_2,,,1.0,,,
"<handle replaced><handle replaced>Tesla used to dig ditches when he needed money, and then he would go back to his inventions. Secure yourself financially by finding new careers but your writing will always stay with you.",question_2,,,,,,0.0
"<handle replaced><handle replaced>Thank God BJP is not in power, else, abb tak to modi must resign campeign shuru ho jata",question_2,,,,0.0,,
<handle replaced><handle replaced>Thank you Ekta ji for appreciating his talent!  #ParthSamthaan #maiherobollrahahu,question_2,,,,,0.0,
"<handle replaced><handle replaced>Thank you ☺️💝 ma'am For, speaking!",question_2,,,,,0.0,
<handle replaced><handle replaced>Thank you🤗 <handle replaced>,question_2,,,,,,0.0
<handle replaced><handle replaced>Thanks Sameer for telling the world what India Muslims are facing.,question_2,,,,0.0,,
<handle replaced><handle replaced>Thanks for joining!,question_2,,,,0.0,,
<handle replaced><handle replaced>Thanks for the support!!!  The truth must be out &amp; culprits should be punished.  #DemocracyDemandCBIForSSR #WhoKilledSushant,question_2,,,,0.0,,
<handle replaced><handle replaced>Thanks god!. These news channels are really very dumb and vultures who run after publicity to run fake news even if it's so sensitive!,question_2,,,,,0.0,
<handle replaced><handle replaced>Thanks so much,question_2,,0.0,,,,
<handle replaced><handle replaced>Thanks you  #VoteForRubinaDilaik,question_2,,,0.0,,,
<handle replaced><handle replaced>Thanks you Mera pic kahan se mila,question_2,,0.0,,,,
<handle replaced><handle replaced>Thanks you ji  #HappyBirthdaySalmanKhan,question_2,,,,,0.0,
<handle replaced><handle replaced>Thanks 🙏 Esha Deol 🤩,question_2,,,,0.0,,
<handle replaced><handle replaced>Thanku mam for supporting us 🙏 #UPSCextraattempt,question_2,,,,,0.0,
<handle replaced><handle replaced>Thankyou so much! #RespectForRashamiDesai,question_2,,,,,0.0,
<handle replaced><handle replaced>That bitch!!! I want some titties a fatter ass and hips 😩😩😩,question_2,,,,,0.0,
<handle replaced><handle replaced>That dude is not a Muslim,question_2,,,0.0,,,
<handle replaced><handle replaced>That naxal belongs to ur grp.. Know..,question_2,,,,,1.0,
<handle replaced><handle replaced>That was the joke of the century mam #AlwaysByYourSideSid,question_2,,,,,0.0,
<handle replaced><handle replaced>That's the most unfortunate thing that Hindus are secular,question_2,,,,0.0,,
<handle replaced><handle replaced>That's why India is called sickular,question_2,,,1.0,,1.0,
<handle replaced><handle replaced>That's why they gave you a gay life partner in every movie cause you can't stand a real opinion.,question_2,,,,,1.0,
<handle replaced><handle replaced>Thats worth 15k rupees,question_2,,0.0,,,,
<handle replaced><handle replaced>That’s a bad bitch,question_2,,,,0.0,,
<handle replaced><handle replaced>That’s called OCD 😀,question_2,,,,,0.0,
"<handle replaced><handle replaced>That’s the biggest problem. Ppl r not ready to understand  Calling me naive may satisfy ur ego, but can’t avert the consequences it would lead to, bcz of his stupidity  What u ppl need to understand is, neither pharma giants nor Prez or any1 rule our mind or our clinical practice",question_2,,,0.0,,,
<handle replaced><handle replaced>The Grand Escape!!   ,question_2,,,,,,0.0
<handle replaced><handle replaced>The Nikkkaaaa Girls 🔥🔥❤️❤️,question_2,,,,,,1.0
"<handle replaced><handle replaced>The RSS never conducted any kind of forced conversions I don't know why are you pulling idiotic stuffs out of your butthole?  RSS never appreciated or conducted RAPE campaigns its the other way around in the name of Al-Jihad, Al-Taqqiyah &amp; Love Jihad.",question_2,,,,,1.0,
<handle replaced><handle replaced>The bastards who seek to get muslims to quit India will have to first get over the dead bodies of millions of hindus.,question_2,,0.0,,,,
"<handle replaced><handle replaced>The benefits like: shit in the sea = shit in your tea?🎣🍟  Those sort of Westminster doesn't giv a fk about ya &amp; #Loyalist threats&amp;street violence made it worse,benefits?  The benefits that will come now that English population hate u as much as #Nationalists ??  Good job 😃👍",question_2,,,0.0,,,
<handle replaced><handle replaced>The best bitch is here what’s really good Yung tied ass brilo,question_2,,,,,0.0,
<handle replaced><handle replaced>The blood just got thicker. That's all.,question_2,,,,,,0.0
<handle replaced><handle replaced>The fact that people have issues with #SmashBrahminicalPatriarchy and #EndCasteApartheid itself proves their agreement with casteism and patriarchy. #GoToHell,question_2,,,,0.0,,
"<handle replaced><handle replaced>The intention and agenda is getting clear, attack muslim, and frightened other majority and backward caste.  Break the unity at any cost.",question_2,,,,0.0,,
<handle replaced><handle replaced>The modern women is never happy. That state is an oxymoron.,question_2,,,,,1.0,
<handle replaced><handle replaced>The people who selected the government by putting their votes are out and relatives of the gaining MLAs are in... We are in the knowledge of we made as donkeys... thanks ..,question_2,,,,0.0,,
<handle replaced><handle replaced>The sickest and most pathetic thing anyone can do is to cut trees in the middle of the night. If an order has been passed for deforestation to be done anyway why do it in this fashion? What is the govt trying to hide? Or rather is there something being covered up?,question_2,0.0,,,0.0,,
"<handle replaced><handle replaced>The sickular, pseudo-liberal and fake-intellectual media persons may want to blame the for this unrest. But in reality, this will seen by the people of India, as blackmailing of the govt., and violation of lockdown &amp; Covid protocols by these so-called sponsored farmers.",question_2,,,,1.0,,1.0
"<handle replaced><handle replaced>The stupid person Malcolm X, convert in islam then disappointed and assasinate by his rival muslim organization.",question_2,,,,,1.0,
"<handle replaced><handle replaced>The term ""DESH"" is derived from the word ""DISHA"" i.e. direction. The piece of land which is bound in all directions by a border is called DESH or NATION. Those who are born outside those boundries and enter without permission are certainly illegal.",question_2,,,0.0,,,
<handle replaced><handle replaced>The video is horrible. But so is your reply. Stop slut shaming women and trying to collectively slut shame a community. Just. Stop. Already.,question_2,0.0,,,,0.0,
<handle replaced><handle replaced>The whore of Babylon.  Remember this.   Anything the devil intended for evil God can redeem!,question_2,,,1.0,,,
<handle replaced><handle replaced>Then Mosques should also open it for WOMEN!!!!,question_2,,,,,,1.0
"<handle replaced><handle replaced>There are certain ideologies which promote capture of women who do not belong to clans which adhere to those ideologies as sex slaves. Identify those ideologies, start speaking out against them and the mechanisms which promote those ideologies. If you dare that is.",question_2,,,0.0,,,
<handle replaced><handle replaced>There are lists &amp; then there are lists. One or the other lists every politician. Means nothing.,question_2,,,,,0.0,
<handle replaced><handle replaced>There are many things we can't believe because we don't have an organization like Mossad in India. We are Gandhi ka chelas.,question_2,,,,,0.0,
<handle replaced><handle replaced>There are people withstanding the stench and posting the screenshots. They deserve praise of continuing to shine a spotlight on these scumbags. I don't blame you cuz I know I couldn't stand being on there that is for sure.,question_2,1.0,,1.0,,,
"<handle replaced><handle replaced>There gurus was killed by mugals and now , inki matao muhlo ke beef hai ye",question_2,,,,,,1.0
<handle replaced><handle replaced>There is a separate hell for people like you. I respected you but this constant bashing of country in the international forum just to malign the image of country. For sheer hate of Modi is pathetic. Even for your grade.,question_2,,,0.0,,,
<handle replaced><handle replaced>There is always someone there with hurt feelings for one reason or other... And All these feelings have dirty political motives...,question_2,,,,,,0.0
<handle replaced><handle replaced>Theri maa stupping him happy?? Asim abuse sid sister didn't u hear that stupid women,question_2,,,1.0,,,
<handle replaced><handle replaced>These are #MadarsaChhapTerrorists so Ignore if they bark. #IndiaSupportsCAA,question_2,,,,,1.0,
<handle replaced><handle replaced>These lal salaaam comrades d the biggest dumb as@ fools...ek number ke gadhe hai....dey just want dead bodies for their propaganda...,question_2,1.0,,1.0,,,
<handle replaced><handle replaced>These rules are as absurd as our gender biased laws.  Where men responsible for money and wife enjoys the rights.  Hail Indian judiciary #498A #MenToo #mencylopedia <handle replaced>#mensutra,question_2,,,,1.0,,
"<handle replaced><handle replaced>These type of people like rhea should be treated more badly and wildly, because she ( rhea) is not a human being and what she does with ssr is also inhuman. So, madam how can u expect good for rhea, she is a basturd",question_2,,,,,1.0,
<handle replaced><handle replaced>They NEVER registered a case when Disha Salyan murdered. Hope you consider her a women.. and You were silent.  What happens to Kathua Rape case ? Any idea ?,question_2,,,,0.0,,
<handle replaced><handle replaced>They are coming without mask? Like even a cloth mask? Because usage of N95 sometimes is dangerous to individuals if worn without medical guidelines?   Which area exactly? Valasaravakkam?,question_2,,,0.0,,,
<handle replaced><handle replaced>They are illegal immigrants,question_2,,,0.0,,,
<handle replaced><handle replaced>They are living together...!!! And they don't care about shit.,question_2,,,,0.0,,
<handle replaced><handle replaced>They are old thieves. How the hell you forget that.,question_2,,,0.0,,,
<handle replaced><handle replaced>They can never have supremacy as they follow Regressive Stupid Shameless jungle stone age philosophy,question_2,,,0.0,,,
<handle replaced><handle replaced>They not detention centres they are concentration camps just like Hitler did let that sink in <handle replaced>,question_2,,,0.0,,,
<handle replaced><handle replaced>They r cheaters,question_2,,,,0.0,,
<handle replaced><handle replaced>They release the due share only when general elections approach. Never mind of development but they only worry about winning elections #GujarathdevopmentModel #BJPdevolopmentModel,question_2,,,0.0,,,
<handle replaced><handle replaced>They’ve come to believe that no-one listens. A convenient excuse not to speak up and blame?,question_2,,,,,,0.0
<handle replaced><handle replaced>Think her grandmother (maternal) is Christian.,question_2,,,0.0,,,
"<handle replaced><handle replaced>This Lady <handle replaced> continuously spreading false propaganda against <handle replaced>film from day 1, can you show me the proof regarding this ...she is venom...",question_2,,,1.0,,,
<handle replaced><handle replaced>This bitch extorted 2 Rice Bags extra and converted only 1.   She is blacklisted. 😠,question_2,,,,,,1.0
<handle replaced><handle replaced>This cushion is nothing but it's depicting the cushion you n ur family creating around illegal immigrants.,question_2,,,,0.0,,
<handle replaced><handle replaced>This incredible woman has done a survey that made everybody dance when they saw her fat ass retreating on the horizon,question_2,,,,,1.0,
<handle replaced><handle replaced>This is #womenaretrash group. Deserve to rot in hell and jail,question_2,,,,,,1.0
<handle replaced><handle replaced>This is eye wash to show gullible fools that they are honest party. With donations from these fools Modi and his friends like Adani-Ambani will eat chakhna,question_2,,,0.0,,,
<handle replaced><handle replaced>This is graphical representation of what Raga says about Hindu and Hindutva.,question_2,,0.0,,,,
"<handle replaced><handle replaced>This is ridiculous, same thing happened at Indian temples",question_2,,,,0.0,,
<handle replaced><handle replaced>This is what happens when u make a gangster the CM....,question_2,,,0.0,,,
<handle replaced><handle replaced>This islamist lady is also spewing venom and spreading fake news. Why know action against her? Hypocraite,question_2,,,1.0,,,
<handle replaced><handle replaced>This one Made my Day💓🔥🤞🇮🇳,question_2,,,,,,1.0
<handle replaced><handle replaced>This propaganda won't work this time ... Every single j*hadi te*rorist will be k*lled like a dog on street by Indian Army.  And world will know reality of rel*gion of peace.  No Ola-U-Uber driver gonna give you lift this time.,question_2,,0.0,,,,
"<handle replaced><handle replaced>This right here is the reason why we can not be a nation. Did it truly even started with the coup? Nzeogwu that was reported to led the coup was born and served in North.  And if you think being mayhem, violated, hunted is ""playing victim card"". May the lord forgive you",question_2,,,,,0.0,
<handle replaced><handle replaced>This so called blue tick public can only hear and see half of the epi only becoz unko khud ko pata hai pura dekhenge toh unke so called fav logo ki sachi bahar aajayegi....Jo sirf aur sirf bitching hi hai...so much of obessession with KK and teja,question_2,,0.0,,,,
<handle replaced><handle replaced>This south Africa born... Y are you in India? I don't know why this shitty people talk about India..,question_2,,0.0,0.0,,,
<handle replaced><handle replaced>This tweet may still not suffice to fetch you ticket to contest corporator election lol!,question_2,,,,,1.0,
<handle replaced><handle replaced>This usually happens with #MoneyMotive &amp; Every attempt 2 defame a Men will b occupied But Needs 2 b countered  Soon she will b joined by #BadiBindiGang  #DigitalMobLynching 2 snatch his hard earned income #NoLaws4Men assuming #WomenDontLie #SpeakUpMen against #GenderbiasedLaws,question_2,,,,,1.0,
<handle replaced><handle replaced>Those are fake feminists!,question_2,,,1.0,,,
<handle replaced><handle replaced>Those who are cherishing death of Danish are Indian Taliban spineless shameless with dead conscience..,question_2,,0.0,,,,
<handle replaced><handle replaced>Thr she is!A self bigot/homophobic lady!No comment on the Muslim vicitm lady who had acid attack&amp;having life threatening injuries.But this lady have time 2 write on rohingyas intruders/ bastards terrorist who killed innocents but no time 4 females who challenged the idiotic laws,question_2,,,1.0,,,
"<handle replaced><handle replaced>Thts how RSS created Nathu Ram godse. They pick a normal thing posion it for everyone. You left with no option, BMKJ was not communal, unfortunately it is now. Bcos all lynchers, mob leaders, ritors are using it. To Create fear  just say BMKJ. U get backed by Rss n gang.",question_2,,,0.0,,,
<handle replaced><handle replaced>Tickets game 120  devi ji bdutt?????,question_2,,,,,,0.0
<handle replaced><handle replaced>Time for Sham to shine  REIGNING QUEEN SHAMITA,question_2,,,,,0.0,
"<handle replaced><handle replaced>To you &amp; your loved once,,,❤️❤️",question_2,,,,0.0,,
<handle replaced><handle replaced>Totally agree many may not want a gun but those who so should not be denied right to self defense,question_2,,,,,0.0,
<handle replaced><handle replaced>Totally wrong with the way they potrait in the series not only women other characters too 😡.  if you don't understand this fake director and <handle replaced> plan please keep silent don't promote this shit stuffs 🙏.,question_2,,0.0,0.0,,,
"<handle replaced><handle replaced>Translation : Arrest #VaraVaraRao immediately , so that  Anand Teltumbde doesn't feel he is the Oldest To be in JAIL for #BhimaKoregaon Case....😎  #ArrestVaraVaraRao",question_2,,,,1.0,,
<handle replaced><handle replaced>True,question_2,,,0.0,,,
"<handle replaced><handle replaced>True , she was happy in Syria .. what’s the problem in Afghanistan?",question_2,,1.0,,,,
